Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.936384,1.004464,0.907924,0.999442,0.863657,535796800
2000-01-04,0.966518,0.987723,0.903460,0.915179,0.790842,512377600
2000-01-05,0.926339,0.987165,0.919643,0.928571,0.802415,778321600
2000-01-06,0.947545,0.955357,0.848214,0.848214,0.732975,767972800
2000-01-07,0.861607,0.901786,0.852679,0.888393,0.767695,460734400
2000-01-10,0.910714,0.912946,0.845982,0.872768,0.754193,505064000
2000-01-11,0.856585,0.887277,0.808036,0.828125,0.715615,441548800
2000-01-12,0.848214,0.852679,0.772321,0.778460,0.672698,976068800
2000-01-13,0.843610,0.881696,0.825893,0.863839,0.746477,1032684800
2000-01-14,0.892857,0.912946,0.887277,0.896763,0.774928,390376000
2000-01-18,0.901786,0.946429,0.896763,0.928013,0.801933,459177600
2000-01-19,0.943080,0.970982,0.922991,0.951451,0.822186,597643200
2000-01-20,1.031250,1.084821,1.013393,1.013393,0.875712,1831132800
2000-01-21,1.020089,1.020089,0.983817,0.993862,0.858835,495924800
2000-01-24,0.968192,1.006696,0.938616,0.948661,0.819775,440876800
2000-01-25,0.937500,1.010045,0.914063,1.002232,0.866068,497145600
2000-01-26,0.982143,1.019531,0.979911,0.983817,0.850155,367158400
2000-01-27,0.971540,1.008929,0.955357,0.982143,0.848708,340144000
2000-01-28,0.965960,0.989955,0.898438,0.907366,0.784091,423348800
2000-01-31,0.901786,0.927455,0.843750,0.926339,0.800486,701680000
2000-02-01,0.928571,0.937500,0.892857,0.895089,0.773482,318035200
2000-02-02,0.899554,0.911830,0.866071,0.882254,0.762391,464195200
2000-02-03,0.895647,0.930804,0.895089,0.922433,0.797111,475193600
2000-02-04,0.928013,0.982143,0.925223,0.964286,0.833277,425320000
2000-02-07,0.964286,1.020089,0.945871,1.018415,0.880053,441067200
2000-02-08,1.017857,1.036830,0.993304,1.025670,0.886321,408643200
2000-02-09,1.018973,1.045759,1.003906,1.005580,0.868961,299364800
2000-02-10,1.007813,1.016741,0.982143,1.013393,0.875712,302982400
2000-02-11,1.014509,1.018973,0.966518,0.970982,0.839064,212251200
2000-02-14,0.976004,1.034598,0.969866,1.034040,0.893555,367539200
2000-02-15,1.029018,1.070871,1.028460,1.062500,0.918148,485744000
2000-02-16,1.051339,1.054688,1.001116,1.018973,0.880535,378246400
2000-02-17,1.028460,1.031250,1.010045,1.025670,0.886321,289497600
